vader_compound,vader_pos,vader_neg,vader_neu,Verified,Type Of Traveller,Seat Type,review_length,Recommended
-0.7263,0.0,0.076,0.924,True,Couple Leisure,Economy Class,440,0
-0.9765,0.053,0.193,0.754,True,Solo Leisure,Economy Class,862,0
-0.871,0.134,0.209,0.657,False,Couple Leisure,Economy Class,511,0
0.9751,0.118,0.045,0.837,True,Couple Leisure,Business Class,1553,1
-0.8136,0.019,0.04,0.941,True,Family Leisure,Economy Class,1880,0
-0.9948,0.025,0.206,0.769,False,Business,Economy Class,1306,0
-0.8326,0.013,0.076,0.91,False,Family Leisure,Economy Class,725,0
-0.9692,0.072,0.184,0.743,True,Business,Business Class,896,0
0.8326,0.085,0.074,0.841,True,Solo Leisure,Economy Class,1361,1
-0.9636,0.024,0.127,0.848,True,Business,Business Class,897,0
-0.7689,0.02,0.104,0.876,True,Solo Leisure,Economy Class,415,0
0.9469,0.081,0.053,0.866,True,Family Leisure,Economy Class,2049,0
0.884,0.25,0.126,0.624,True,Business,Economy Class,287,1
0.1376,0.072,0.073,0.855,False,Couple Leisure,Economy Class,2465,0
0.9049,0.165,0.068,0.767,False,Business,Premium Economy,629,1
-0.9242,0.067,0.096,0.837,True,Couple Leisure,Business Class,1974,0
-0.9646,0.058,0.12,0.822,True,Solo Leisure,Economy Class,1718,0
0.6746,0.074,0.061,0.865,True,Business,Business Class,1379,0
-0.9254,0.1,0.166,0.734,False,Family Leisure,Economy Class,863,0
-0.9544,0.093,0.229,0.678,True,Solo Leisure,Economy Class,612,0
-0.3324,0.086,0.121,0.792,True,Solo Leisure,Economy Class,622,0
0.6395,0.172,0.0,0.828,True,Couple Leisure,Economy Class,158,1
-0.8997,0.022,0.068,0.91,False,Family Leisure,Economy Class,1403,0
0.881,0.114,0.039,0.847,False,Solo Leisure,Economy Class,505,0
0.7956,0.117,0.063,0.82,False,Solo Leisure,Economy Class,542,1
-0.8462,0.028,0.097,0.875,True,Business,Economy Class,693,0
-0.3722,0.045,0.06,0.895,True,Family Leisure,Economy Class,1497,0
-0.8316,0.034,0.148,0.818,True,Family Leisure,Economy Class,405,0
-0.9388,0.0,0.102,0.898,False,Couple Leisure,Economy Class,759,0
0.9348,0.11,0.076,0.814,True,Solo Leisure,Economy Class,1855,0
0.7781,0.139,0.065,0.797,False,Couple Leisure,Economy Class,489,1
-0.981,0.027,0.134,0.839,True,Couple Leisure,Economy Class,1352,0
-0.8921,0.043,0.085,0.872,True,Family Leisure,Business Class,1543,0
-0.9674,0.01,0.179,0.81,False,Solo Leisure,Economy Class,629,0
-0.9259,0.054,0.207,0.739,True,Family Leisure,Economy Class,433,0
-0.925,0.043,0.132,0.826,False,Family Leisure,Economy Class,901,0
0.9091,0.069,0.029,0.902,False,Solo Leisure,Economy Class,1413,0
-0.5363,0.046,0.07,0.883,True,Solo Leisure,Economy Class,1329,0
-0.9029,0.066,0.202,0.732,False,Business,Premium Economy,464,0
-0.9401,0.039,0.111,0.85,False,Couple Leisure,Economy Class,1032,0
-0.3612,0.035,0.097,0.867,True,Solo Leisure,Economy Class,516,0
-0.7506,0.0,0.163,0.837,True,Solo Leisure,Economy Class,180,0
-0.9825,0.047,0.171,0.782,False,Family Leisure,Economy Class,1206,0
-0.8807,0.0,0.13,0.87,False,Solo Leisure,Economy Class,472,0
-0.9357,0.054,0.217,0.729,True,Couple Leisure,Economy Class,467,0
-0.906,0.036,0.263,0.701,True,Family Leisure,Economy Class,215,0
-0.9412,0.046,0.126,0.829,False,Couple Leisure,Economy Class,1056,0
-0.5299,0.046,0.064,0.89,True,Family Leisure,Economy Class,1672,0
-0.9468,0.0,0.401,0.599,True,Solo Leisure,Economy Class,152,0
0.0258,0.097,0.082,0.821,False,Solo Leisure,Economy Class,338,0
-0.4573,0.073,0.086,0.841,True,Couple Leisure,Economy Class,749,0
-0.9409,0.028,0.155,0.817,False,Couple Leisure,Economy Class,781,0
-0.34,0.034,0.057,0.91,False,Business,Business Class,709,0
0.2836,0.059,0.065,0.876,True,Solo Leisure,Economy Class,607,0
0.9072,0.104,0.021,0.876,False,Solo Leisure,Economy Class,557,0
-0.8126,0.072,0.149,0.78,True,Solo Leisure,Economy Class,469,0
-0.8988,0.024,0.18,0.796,False,Couple Leisure,Economy Class,397,0
-0.9714,0.013,0.19,0.797,True,Solo Leisure,Economy Class,642,0
0.9715,0.144,0.055,0.802,True,Couple Leisure,Economy Class,1309,0
-0.8198,0.0,0.184,0.816,False,Family Leisure,Economy Class,180,0
-0.8775,0.012,0.112,0.876,True,Business,Economy Class,471,0
-0.6798,0.0,0.055,0.945,False,Solo Leisure,Economy Class,396,0
-0.9493,0.007,0.081,0.913,True,Solo Leisure,Economy Class,1064,0
-0.9165,0.051,0.112,0.837,True,Couple Leisure,Economy Class,1006,0
-0.9027,0.031,0.085,0.884,True,Couple Leisure,Business Class,1132,0
-0.9139,0.005,0.046,0.949,True,Solo Leisure,Economy Class,1623,0
0.2764,0.148,0.136,0.716,False,Family Leisure,Business Class,700,1
-0.9303,0.025,0.11,0.865,True,Solo Leisure,Economy Class,877,0
0.9169,0.256,0.113,0.631,True,Family Leisure,Economy Class,339,1
-0.0199,0.061,0.068,0.871,True,Couple Leisure,Economy Class,1474,0
-0.5191,0.082,0.118,0.8,True,Solo Leisure,Economy Class,425,0
-0.8074,0.022,0.056,0.922,True,Solo Leisure,Economy Class,1401,0
0.9287,0.189,0.0,0.811,False,Solo Leisure,Economy Class,344,1
0.5906,0.091,0.078,0.83,False,Couple Leisure,Economy Class,909,0
-0.9126,0.035,0.074,0.891,True,Solo Leisure,Economy Class,1615,0
-0.4401,0.021,0.064,0.915,True,Family Leisure,Economy Class,397,0
-0.926,0.04,0.121,0.84,False,Family Leisure,Economy Class,952,0
-0.6632,0.019,0.044,0.937,False,Couple Leisure,Economy Class,1305,0
-0.896,0.033,0.075,0.892,True,Solo Leisure,Economy Class,1672,0
-0.7666,0.073,0.136,0.79,True,Family Leisure,Economy Class,767,0
-0.9491,0.052,0.183,0.765,True,Solo Leisure,Economy Class,690,0
-0.8687,0.022,0.106,0.872,False,Couple Leisure,Economy Class,621,0
-0.8866,0.032,0.12,0.848,False,Family Leisure,Economy Class,740,0
-0.8422,0.018,0.118,0.864,True,Couple Leisure,Economy Class,528,0
0.993,0.212,0.019,0.769,True,Solo Leisure,Economy Class,1204,1
0.9578,0.353,0.029,0.617,True,Solo Leisure,Economy Class,217,1
0.9335,0.29,0.0,0.71,True,Solo Leisure,Economy Class,226,1
0.9574,0.113,0.027,0.861,False,Couple Leisure,Economy Class,1224,1
0.5058,0.162,0.045,0.794,False,Unknown,Economy Class,197,1
-0.5106,0.035,0.096,0.869,False,Unknown,Unknown,312,0
0.8779,0.277,0.0,0.723,False,Unknown,Unknown,198,0
-0.802,0.024,0.119,0.856,True,Solo Leisure,Economy Class,364,0
-0.4926,0.0,0.11,0.89,True,Solo Leisure,Economy Class,157,0
0.9857,0.145,0.048,0.806,True,Solo Leisure,Business Class,1686,0
0.9754,0.24,0.0,0.76,False,Business,Economy Class,523,1
0.9794,0.363,0.0,0.637,True,Business,Business Class,331,1
-0.8546,0.03,0.091,0.879,True,Business,Economy Class,1073,0
0.9835,0.237,0.068,0.695,True,Solo Leisure,Business Class,790,1
0.9049,0.185,0.103,0.712,True,Business,Premium Economy,676,1
-0.2708,0.102,0.103,0.795,True,Family Leisure,Economy Class,492,0
0.9843,0.223,0.0,0.777,False,Solo Leisure,Premium Economy,647,1
-0.8271,0.083,0.177,0.74,True,Business,Economy Class,462,0
0.0258,0.036,0.034,0.929,False,Couple Leisure,Economy Class,276,0
