vader_compound,vader_pos,vader_neg,vader_neu,Verified,Type Of Traveller,Seat Type,review_length,row_id,Review Date,Date Flown,Recommended
-0.8326,0.013,0.076,0.91,False,Family Leisure,Economy Class,725,213,2023-06-13,2023-03-01,0
-0.9692,0.072,0.184,0.743,True,Business,Business Class,896,214,2023-06-11,2023-05-01,0
0.8326,0.085,0.074,0.841,True,Solo Leisure,Economy Class,1361,215,2023-06-04,2023-06-01,1
-0.9636,0.024,0.127,0.848,True,Business,Business Class,897,216,2023-05-28,2023-05-01,0
-0.7689,0.02,0.104,0.876,True,Solo Leisure,Economy Class,415,217,2023-05-28,2023-05-01,0
0.9469,0.081,0.053,0.866,True,Family Leisure,Economy Class,2049,218,2023-05-27,2023-05-01,0
0.884,0.25,0.126,0.624,True,Business,Economy Class,287,219,2023-05-24,2023-05-01,1
0.1376,0.072,0.073,0.855,False,Couple Leisure,Economy Class,2465,220,2023-05-23,2023-05-01,0
0.9049,0.165,0.068,0.767,False,Business,Premium Economy,629,221,2023-05-19,2023-05-01,1
-0.9242,0.067,0.096,0.837,True,Couple Leisure,Business Class,1974,222,2023-05-18,2023-05-01,0
-0.9646,0.058,0.12,0.822,True,Solo Leisure,Economy Class,1718,223,2023-05-18,2023-05-01,0
0.6746,0.074,0.061,0.865,True,Business,Business Class,1379,224,2023-05-17,2023-05-01,0
-0.9254,0.1,0.166,0.734,False,Family Leisure,Economy Class,863,225,2023-05-14,2023-05-01,0
-0.9544,0.093,0.229,0.678,True,Solo Leisure,Economy Class,612,226,2023-05-12,2023-05-01,0
-0.3324,0.086,0.121,0.792,True,Solo Leisure,Economy Class,622,227,2023-05-10,2023-05-01,0
0.6395,0.172,0.0,0.828,True,Couple Leisure,Economy Class,158,228,2023-05-08,2023-05-01,1
-0.8997,0.022,0.068,0.91,False,Family Leisure,Economy Class,1403,229,2023-05-01,2022-08-01,0
0.881,0.114,0.039,0.847,False,Solo Leisure,Economy Class,505,230,2023-04-27,2023-04-01,0
0.7956,0.117,0.063,0.82,False,Solo Leisure,Economy Class,542,231,2023-04-15,2023-04-01,1
-0.8462,0.028,0.097,0.875,True,Business,Economy Class,693,232,2023-04-15,2023-04-01,0
-0.3722,0.045,0.06,0.895,True,Family Leisure,Economy Class,1497,233,2023-04-09,2023-04-01,0
-0.8316,0.034,0.148,0.818,True,Family Leisure,Economy Class,405,234,2023-04-07,2023-04-01,0
-0.9388,0.0,0.102,0.898,False,Couple Leisure,Economy Class,759,235,2023-04-03,2023-04-01,0
0.9348,0.11,0.076,0.814,True,Solo Leisure,Economy Class,1855,236,2023-02-28,2023-02-01,0
0.7781,0.139,0.065,0.797,False,Couple Leisure,Economy Class,489,237,2023-01-30,2022-09-01,1
-0.981,0.027,0.134,0.839,True,Couple Leisure,Economy Class,1352,238,2023-01-09,2023-01-01,0
-0.8921,0.043,0.085,0.872,True,Family Leisure,Business Class,1543,239,2023-01-08,2022-12-01,0
-0.9674,0.01,0.179,0.81,False,Solo Leisure,Economy Class,629,240,2023-01-07,2023-01-01,0
-0.9259,0.054,0.207,0.739,True,Family Leisure,Economy Class,433,241,2022-12-27,2022-12-01,0
-0.925,0.043,0.132,0.826,False,Family Leisure,Economy Class,901,242,2022-12-24,2022-12-01,0
0.9091,0.069,0.029,0.902,False,Solo Leisure,Economy Class,1413,243,2022-12-19,2022-09-01,0
-0.5363,0.046,0.07,0.883,True,Solo Leisure,Economy Class,1329,244,2022-12-17,2022-12-01,0
-0.9029,0.066,0.202,0.732,False,Business,Premium Economy,464,245,2022-12-15,2022-12-01,0
