aspect_seat,aspect_food,aspect_staff,aspect_ground_service,aspect_entertainment,aspect_seat_missing,aspect_food_missing,aspect_staff_missing,aspect_ground_service_missing,aspect_entertainment_missing,Verified,Type Of Traveller,Seat Type,review_length,Recommended
,,-0.9313,-0.9313,,1,1,0,0,1,True,Solo Leisure,Economy Class,642,0
,,0.9648,0.9648,,1,1,0,0,1,True,Couple Leisure,Economy Class,1309,0
-0.0772,-0.0772,-0.0772,,-0.0772,0,0,0,1,0,False,Family Leisure,Economy Class,180,0
,,,-0.8957,,1,1,1,0,1,True,Business,Economy Class,471,0
,,-0.5256,,,1,1,0,1,1,False,Solo Leisure,Economy Class,396,0
,-0.8623,-0.8623,-0.8623,,1,0,0,0,1,True,Solo Leisure,Economy Class,1064,0
,0.6908,0.6908,0.6908,,1,0,0,0,1,True,Couple Leisure,Economy Class,1006,0
,,-0.9274,-0.9274,-0.9274,1,1,0,0,0,True,Couple Leisure,Business Class,1132,0
,,-0.5859,-0.5859,,1,1,0,0,1,True,Solo Leisure,Economy Class,1623,0
0.8885,0.8885,0.8885,0.8885,,0,0,0,0,1,False,Family Leisure,Business Class,700,1
-0.8137,,,-0.8137,,0,1,1,0,1,True,Solo Leisure,Economy Class,877,0
0.9169,0.9169,0.9169,,0.9169,0,0,0,1,0,True,Family Leisure,Economy Class,339,1
0.5849,0.5849,0.5849,0.5849,,0,0,0,0,1,True,Couple Leisure,Economy Class,1474,0
,,,,0.6705,1,1,1,1,0,True,Solo Leisure,Economy Class,425,0
,,-0.7269,-0.7269,,1,1,0,0,1,True,Solo Leisure,Economy Class,1401,0
,,0.9287,0.9287,,1,1,0,0,1,False,Solo Leisure,Economy Class,344,1
0.6994,,0.6994,0.6994,0.6994,0,1,0,0,0,False,Couple Leisure,Economy Class,909,0
0.6808,0.6808,0.6808,0.6808,0.6808,0,0,0,0,0,True,Solo Leisure,Economy Class,1615,0
,,,0.2023,,1,1,1,0,1,True,Family Leisure,Economy Class,397,0
,-0.9231,,-0.9231,,1,0,1,0,1,False,Family Leisure,Economy Class,952,0
0.4588,,0.4588,0.4588,,0,1,0,0,1,False,Couple Leisure,Economy Class,1305,0
,,-0.9549,-0.9549,,1,1,0,0,1,True,Solo Leisure,Economy Class,1672,0
-0.775,,-0.775,-0.775,,0,1,0,0,1,True,Family Leisure,Economy Class,767,0
,-0.9491,-0.9491,-0.9491,,1,0,0,0,1,True,Solo Leisure,Economy Class,690,0
,,-0.8591,-0.8591,-0.8591,1,1,0,0,0,False,Couple Leisure,Economy Class,621,0
0.7869,,,,,0,1,1,1,1,False,Family Leisure,Economy Class,740,0
,,,-0.6705,,1,1,1,0,1,True,Couple Leisure,Economy Class,528,0
,0.993,0.993,0.993,,1,0,0,0,1,True,Solo Leisure,Economy Class,1204,1
,,0.9578,,,1,1,0,1,1,True,Solo Leisure,Economy Class,217,1
0.926,,0.926,0.926,,0,1,0,0,1,True,Solo Leisure,Economy Class,226,1
,,0.9607,0.9607,,1,1,0,0,1,False,Couple Leisure,Economy Class,1224,1
0.7609,0.7609,,,,0,0,1,1,1,False,Unknown,Economy Class,197,1
,,,-0.5106,,1,1,1,0,1,False,Unknown,Unknown,312,0
,,0.8316,0.8316,,1,1,0,0,1,False,Unknown,Unknown,198,0
,,,-0.5859,,1,1,1,0,1,True,Solo Leisure,Economy Class,364,0
,,,-0.4404,,1,1,1,0,1,True,Solo Leisure,Economy Class,157,0
0.9808,0.9808,0.9808,,,0,0,0,1,1,True,Solo Leisure,Business Class,1686,0
0.9834,0.9834,0.9834,,0.9834,0,0,0,1,0,False,Business,Economy Class,523,1
,,0.9787,,,1,1,0,1,1,True,Business,Business Class,331,1
,,,-0.5994,,1,1,1,0,1,True,Business,Economy Class,1073,0
0.971,,0.971,,,0,1,0,1,1,True,Solo Leisure,Business Class,790,1
0.9136,0.9136,0.9136,0.9136,,0,0,0,0,1,True,Business,Premium Economy,676,1
0.4228,,0.4228,,,0,1,0,1,1,True,Family Leisure,Economy Class,492,0
