vader_compound,vader_pos,vader_neg,vader_neu,aspect_seat,aspect_food,aspect_staff,aspect_ground_service,aspect_entertainment,aspect_seat_missing,aspect_food_missing,aspect_staff_missing,aspect_ground_service_missing,aspect_entertainment_missing,Verified,Type Of Traveller,Seat Type,review_length,Recommended
0.0106,0.084,0.077,0.839,,,0.8934,0.8934,,1,1,0,0,1,True,Couple Leisure,Economy Class,694,0
-0.4826,0.041,0.131,0.827,0.7906,,,,,0,1,1,1,1,True,Business,Business Class,201,0
-0.8843,0.04,0.144,0.816,,,-0.1779,-0.1779,,1,1,0,0,1,False,Couple Leisure,Economy Class,667,0
0.7453,0.051,0.041,0.908,0.9042,,,,,0,1,1,1,1,True,Couple Leisure,Economy Class,2154,0
0.9867,0.202,0.016,0.781,,0.9867,0.9867,0.9867,,1,0,0,0,1,False,Solo Leisure,Economy Class,1008,1
-0.4935,0.104,0.098,0.799,-0.0624,,-0.0624,-0.0624,-0.0624,0,1,0,0,0,True,Business,Economy Class,1449,0
0.9714,0.162,0.0,0.838,,0.9658,0.9658,,,1,0,0,1,1,True,Business,Economy Class,715,1
0.9788,0.319,0.0,0.681,0.9788,0.9788,0.9788,0.9788,,0,0,0,0,1,False,Solo Leisure,Economy Class,458,1
-0.6204,0.121,0.134,0.745,0.8445,0.8445,0.8445,0.8445,,0,0,0,0,1,False,Family Leisure,Economy Class,756,1
-0.8277,0.041,0.142,0.817,,0.6124,0.6124,0.6124,0.6124,1,0,0,0,0,True,Family Leisure,Economy Class,459,1
0.0516,0.071,0.093,0.836,,,,,0.34,1,1,1,1,0,True,Family Leisure,Economy Class,505,0
0.98,0.458,0.0,0.542,,,0.9794,,,1,1,0,1,1,True,Solo Leisure,Economy Class,215,1
-0.9361,0.029,0.173,0.798,,,,-0.8402,,1,1,1,0,1,True,Business,Economy Class,455,0
0.4741,0.095,0.094,0.811,0.7741,,0.7741,0.7741,,0,1,0,0,1,True,Business,Economy Class,844,0
-0.2023,0.0,0.031,0.969,-0.2023,,-0.2023,-0.2023,,0,1,0,0,1,True,Business,Economy Class,394,0
-0.9063,0.0,0.174,0.826,,,-0.8181,,,1,1,0,1,1,True,Family Leisure,Economy Class,326,0
0.7269,0.084,0.02,0.896,0.7269,0.7269,0.7269,,0.7269,0,0,0,1,0,True,Solo Leisure,Economy Class,462,1
0.9647,0.19,0.075,0.735,0.974,0.974,0.974,0.974,,0,0,0,0,1,True,Couple Leisure,Economy Class,821,1
-0.8255,0.0,0.076,0.924,,,-0.8126,-0.8126,,1,1,0,0,1,True,Couple Leisure,Economy Class,511,0
0.9193,0.16,0.031,0.809,,,0.9169,0.9169,,1,1,0,0,1,True,Solo Leisure,Economy Class,532,0
0.5559,0.043,0.03,0.927,,,0.802,0.802,,1,1,0,0,1,True,Solo Leisure,Economy Class,914,0
-0.6702,0.069,0.153,0.778,,,-0.1779,-0.1779,-0.1779,1,1,0,0,0,True,Couple Leisure,Economy Class,333,0
0.5848,0.072,0.039,0.889,0.7845,,,0.7845,,0,1,1,0,1,True,Solo Leisure,Economy Class,580,0
